scenario,imputer,model,n_features,best_thresh,auroc,auprc,accuracy,precision,recall,f1,bss
pair_NHANES_to_PIMA,median,rf,7,0.13,0.5349179104477613,0.3642156961492554,0.640625,0.21428571428571427,0.011194029850746268,0.02127659574468085,-0.43225219502487566
pair_NHANES_to_PIMA,median,lr,7,0.35999999999999993,0.6595820895522387,0.4683395180148632,0.62109375,0.45878136200716846,0.47761194029850745,0.4680073126142596,0.02826260565094274
pair_NHANES_to_PIMA,median,xgb,7,0.13,0.6356194029850746,0.4446061903513705,0.6549479166666666,0.8,0.014925373134328358,0.029304029304029304,-0.5212103055808619
pair_NHANES_to_PIMA,median,ann,7,0.25999999999999995,0.4117388059701492,0.3302027140833915,0.34765625,0.34810951760104303,0.996268656716418,0.5159420289855072,-0.06571827767534821
pair_NHANES_to_PIMA,median,deep_ann,7,0.235,0.6469104477611941,0.47567336038072316,0.640625,0.484251968503937,0.458955223880597,0.47126436781609193,-0.1364060980406987
pair_NHANES_to_PIMA,median,deepnetx2,7,0.36999999999999994,0.6544925373134329,0.48562449393514556,0.6510416666666666,0.5,0.4141791044776119,0.4530612244897959,-0.10640747460267264
pair_NHANES_to_PIMA,median,ann_xgb_ens,7,0.21999999999999997,0.6585522388059701,0.4890083531087065,0.6627604166666666,0.6551724137931034,0.0708955223880597,0.12794612794612795,-0.4200729635334466
pair_NHANES_to_PIMA,median,stack_lr_oof,7,0.31999999999999995,0.6125820895522388,0.43794641086469044,0.65234375,1.0,0.0037313432835820895,0.007434944237918215,-0.45944248641878516
pair_NHANES_to_TYPE2,median,rf,7,0.13,0.5315677269414671,0.3588123210270372,0.649,0.23529411764705882,0.011695906432748537,0.022284122562674095,-0.41817511667269036
pair_NHANES_to_TYPE2,median,lr,7,0.35999999999999993,0.6536087559323842,0.447652105745186,0.62,0.4482288828337875,0.48099415204678364,0.46403385049365303,0.016838921598927192
pair_NHANES_to_TYPE2,median,xgb,7,0.13,0.6362548658881246,0.4420237060415476,0.6625,0.8461538461538461,0.01608187134502924,0.03156384505021521,-0.5048137062254408
