scenario,imputer,model,n_features,best_thresh,auroc,auprc,accuracy,precision,recall,f1,brier,score_combo,scheme,train,test
pair_NHANES_to_PIMA,median,rf,18.0,0.19,0.607,0.417,0.651,0.0,0.0,0.0,0.328,0.14,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,lr,18.0,0.77,0.623,0.444,0.654,1.0,0.007,0.015,0.335,0.186,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,xgb,18.0,0.13,0.634,0.434,0.65,0.0,0.0,0.0,0.348,0.163,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,ann,18.0,0.275,0.444,0.37,0.637,0.442,0.157,0.231,0.305,0.179,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,deep_ann,18.0,0.13,0.364,0.289,0.655,1.0,0.011,0.022,0.305,0.122,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,deepnetx2,18.0,0.285,0.428,0.328,0.652,1.0,0.004,0.007,0.308,0.115,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,ann_xgb_ens,18.0,0.17,0.618,0.419,0.65,0.0,0.0,0.0,0.343,0.147,pair,NHANES,PIMA
pair_NHANES_to_PIMA,median,stack_lr_oof,18.0,0.245,0.647,0.498,0.651,0.0,0.0,0.0,0.316,0.196,pair,NHANES,PIMA
pair_NHANES_to_TYPE2,median,rf,18.0,0.19,0.604,0.407,0.658,0.0,0.0,0.0,0.322,0.135,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,lr,18.0,0.77,0.624,0.442,0.661,1.0,0.009,0.017,0.328,0.189,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,xgb,18.0,0.13,0.635,0.424,0.656,0.0,0.0,0.0,0.341,0.161,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,ann,18.0,0.21,0.646,0.491,0.554,0.413,0.727,0.527,0.224,0.303,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,deep_ann,18.0,0.25,0.532,0.398,0.66,0.619,0.019,0.037,0.297,0.162,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,deepnetx2,18.0,0.295,0.381,0.294,0.656,0.3,0.004,0.009,0.29,0.111,pair,NHANES,TYPE2
pair_NHANES_to_TYPE2,median,ann_xgb_ens,18.0,0.155,0.635,0.44,0.656,0.0,0.0,0.0,0.335,0.172,pair,NHANES,TYPE2
