config,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,bss_mean,bss_std,best_thresh_mean,best_thresh_std,dataset,imputer,with_flag,interaction,resampling
NHANES__zero,ann,0.958,0.007,0.771,0.021,0.747,0.019,0.665,0.055,0.862,0.061,0.929,0.009,0.493,0.054,0.511,0.209,NHANES,zero,0,0,0
NHANES__zero,ann_xgb_ens,0.96,0.009,0.775,0.062,0.764,0.029,0.677,0.054,0.881,0.036,0.934,0.012,0.571,0.03,0.35,0.174,NHANES,zero,0,0,0
NHANES__zero,deep_ann,0.96,0.002,0.776,0.016,0.751,0.024,0.676,0.047,0.848,0.02,0.932,0.01,0.461,0.029,0.551,0.152,NHANES,zero,0,0,0
NHANES__zero,deepnetx2,0.962,0.006,0.777,0.02,0.751,0.042,0.657,0.07,0.885,0.03,0.928,0.018,0.509,0.039,0.427,0.137,NHANES,zero,0,0,0
NHANES__zero,lr,0.937,0.016,0.731,0.02,0.763,0.022,0.718,0.046,0.822,0.075,0.938,0.006,0.226,0.075,0.762,0.07,NHANES,zero,0,0,0
NHANES__zero,rf,0.962,0.002,0.78,0.048,0.764,0.039,0.686,0.085,0.875,0.054,0.934,0.017,0.599,0.016,0.29,0.116,NHANES,zero,0,0,0
NHANES__zero,RF+DNN metastack,0.964,0.004,0.801,0.04,0.77,0.019,0.695,0.05,0.871,0.064,0.937,0.008,0.611,0.016,0.29,0.091,NHANES,zero,0,0,0
NHANES__zero,xgb,0.957,0.009,0.763,0.068,0.753,0.03,0.667,0.05,0.868,0.038,0.931,0.011,0.532,0.039,0.136,0.03,NHANES,zero,0,0,0
NHANES__zero_smote,ann,0.959,0.006,0.774,0.039,0.748,0.007,0.703,0.052,0.809,0.068,0.934,0.007,0.418,0.057,0.735,0.182,NHANES,zero,0,0,1
NHANES__zero_smote,ann_xgb_ens,0.961,0.009,0.78,0.057,0.761,0.025,0.689,0.059,0.858,0.059,0.934,0.011,0.531,0.035,0.531,0.208,NHANES,zero,0,0,1
NHANES__zero_smote,deep_ann,0.963,0.009,0.797,0.017,0.756,0.028,0.656,0.053,0.898,0.032,0.929,0.013,0.459,0.062,0.539,0.159,NHANES,zero,0,0,1
